time,open,high,low,close
2004-03-01,1840,1859.5,1781.75,1822
2004-04-01,1823.75,1851.5,1800.75,1803
2004-05-03,1802.25,1824.5,1772.25,1818.5
2004-06-01,1818.25,1843.25,1809.5,1837.5
2004-07-01,1837.75,1840.75,1774,1798
2004-08-02,1795,1806.75,1757,1801
2004-09-01,1802,1829,1795,1811.5
2004-10-01,1811.5,1840.25,1784.5,1826.75
2004-11-01,1824,1887.75,1822.75,1870.5
2004-12-01,1873.75,1914,1870,1908
2005-01-03,1907.75,1915.5,1858.5,1876
2005-02-01,1875.5,1909,1873.75,1898.25
2005-03-01,1898.75,1924,1856.75,1874
2005-04-01,1873.25,1885.75,1825.75,1848.5
2005-05-02,1847.75,1892,1836.75,1882.25
2005-06-01,1882.5,1910.25,1877.5,1880.5
2005-07-01,1880.75,1933.75,1855.75,1921.75
2005-08-01,1924.25,1933.5,1879,1906.5
2005-09-01,1907.25,1929.5,1889.5,1913
2005-10-03,1914,1917.75,1850.5,1888.5
2005-11-01,1884,1951.75,1881.25,1929.75
2005-12-01,1931.75,1955.5,1921.75,1925.25
2006-01-02,1925.75,1971.5,1922,1954
2006-02-01,1948.75,1970.25,1926.25,1953
2006-03-01,1952.25,1981.75,1939.25,1967.75
2006-04-03,1967.25,1985,1946.75,1976.25
2006-05-01,1978.75,1991.5,1907,1932.25
2006-06-01,1933.25,1954.25,1878.75,1929.25
2006-07-03,1931.5,1939.75,1880.75,1931.5
2006-08-01,1932,1958.5,1912.25,1955.25
2006-09-01,1954.75,1989.25,1941.25,1984.25
2006-10-02,1984.5,2036.75,1974.75,2022
2006-11-01,2021.5,2050,2004.25,2041.75
2006-12-01,2041.75,2071.5,2026.25,2055
2007-01-01,2059.5,2073.75,2038.75,2069.5
2007-02-01,2069.5,2091.25,2015.5,2035.5
2007-03-01,2034.25,2065,1989.25,2045.25
2007-04-02,2045.75,2119,2039.75,2102.5
2007-05-01,2102,2152,2096.25,2147
2007-06-01,2148,2157,2091.25,2114.75
2007-07-02,2114.5,2165.5,2054.25,2061.25
2007-08-01,2061.75,2109.75,1973.75,2076
2007-09-03,2075.25,2138.5,2040,2124.5
2007-10-01,2127,2173.25,2079,2141.5
2007-11-01,2140.5,2141.5,1992.75,2070.25
2007-12-03,2070.5,2113.5,2022,2053.5
2008-01-01,2055,2059,1831.75,1955.75
2008-02-01,1950.25,1976.25,1889,1907.5
2008-03-03,1905.75,1936.25,1827.75,1898.75
2008-04-01,1896.75,1981.75,1890.5,1960.75
2008-05-01,1957.75,2015.75,1945.25,1975.25
2008-06-02,1975.5,1985.75,1845.25,1853.5
2008-07-01,1856,1867.25,1773.25,1839.5
2008-08-01,1839.5,1886,1818.75,1855
2008-09-01,1854.5,1876,1683.5,1740.5
2008-10-01,1739,1745.5,1396.5,1538.75
2008-11-03,1537.25,1580,1310.5,1466.75
2008-12-01,1469,1490.75,1384.5,1472.5
2009-01-01,1472.5,1515.25,1370,1395
2009-02-02,1396.25,1445.5,1302,1306.75
2009-03-02,1303.75,1406.25,1238.25,1370.5
2009-04-01,1366.25,1462.75,1354.75,1445.75
2009-05-01,1441.75,1505.25,1438.25,1493.75
2009-06-01,1496,1533.25,1464,1495.25
2009-07-01,1495.25,1573.75,1445,1564.25
2009-08-03,1562.5,1618.5,1555.25,1599.5
2009-09-01,1600.75,1660,1570.75,1637.25
2009-10-01,1637.75,1683.25,1596.25,1617.25
2009-11-02,1615.5,1696.5,1610.25,1679
2009-12-01,1677,1717.75,1669.25,1700
2010-01-04,1703,1737.25,1655.75,1659.75
2010-02-01,1659.25,1702,1630,1692.75
2010-03-01,1694.75,1770.25,1693.5,1759
2010-04-01,1760.75,1810.5,1759.5,1777.25
2010-05-03,1778.25,1795.75,1630.5,1682.25
2010-06-01,1682.25,1727.5,1621,1624.5
2010-07-01,1622.5,1716.75,1600.75,1696.25
2010-08-02,1702.5,1725.75,1635,1646.25
2010-09-01,1649.75,1756.5,1648.75,1739.75
2010-10-01,1738.75,1796,1730,1782.75
2010-11-01,1783.5,1827.75,1774,1782.5
2010-12-01,1780.75,1866.5,1779.25,1861
2011-01-03,1864,1907.5,1863.25,1890.5
2011-02-01,1890.5,1951,1889.25,1934
2011-03-01,1934.5,1944.5,1854.25,1934
2011-04-01,1934.25,1976.75,1903.25,1972.75
2011-05-02,1976.25,1986.5,1915.25,1957
2011-06-01,1957.75,1960.75,1870.5,1933.75
2011-07-01,1933,1972.75,1896.75,1906.75
2011-08-01,1924.25,1928,1695.25,1836
2011-09-01,1836.25,1846.75,1726.25,1750.25
2011-10-03,1747.25,1913.5,1692.25,1873.5
2011-11-01,1871.75,1899.5,1771.75,1870.25
2011-12-01,1868,1896.25,1825.75,1882.75
2012-01-03,1905,1960,1890,1938.5
2012-02-01,1938,2007.5,1934,1994.75
2012-03-01,1992.5,2055.75,1968.75,2039.25
2012-04-02,2043.25,2053.75,1988.5,2029.5
2012-05-01,2030.25,2047.75,1923.25,1945.25
2012-06-01,1942.25,2002.25,1898,1999.25
2012-07-02,2001.5,2030.25,1962.5,2017.25
2012-08-01,2014.75,2067.5,1992,2047.75
2012-09-04,2049,2117.5,2037.25,2083.75
2012-10-01,2082.25,2115.5,2042.5,2056.25
2012-11-01,2051.5,2081.25,1989.75,2064
2012-12-03,2062.75,2101,2037.25,2075
2013-01-02,2098,2161,2093.25,2148.25
2013-02-01,2151,2185,2136.75,2168.25
2013-03-01,2167.5,2225,2154.5,2223.25
2013-04-01,2223.5,2254.75,2191.25,2252.75
2013-05-01,2254.25,2346.25,2236.5,2289.5
2013-06-03,2290,2315.5,2219.75,2265.75
2013-07-01,2266.75,2362,2259.75,2347
2013-08-01,2352,2371.5,2291.25,2297.75
2013-09-03,2306.75,2400,2297.25,2347.5
2013-10-01,2351.75,2446.5,2313.25,2424.25
2013-11-01,2428.75,2485.75,2409.75,2477.25
2013-12-02,2479.5,2526,2433.5,2520.5
2014-01-02,2517.25,2525.25,2440.75,2456
2014-02-03,2457,2546,2411.5,2537
2014-03-03,2525.5,2567,2510,2551
2014-04-01,2551,2579,2489.75,2564.5
2014-05-01,2566,2608.75,2541,2608
2014-06-02,2607.75,2653.75,2600.25,2646.25
2014-07-01,2648.25,2679.5,2617.25,2618.5
2014-08-01,2619.75,2697.5,2584,2695.25
2014-09-02,2692.75,2716.5,2657.5,2667.5
2014-10-01,2663,2718.75,2515,2713.5
2014-11-03,2713.25,2777.25,2697.25,2768.25
2014-12-01,2765.25,2797.5,2670.25,2761.25
2015-01-02,2763.75,2776,2679,2697.25
2015-02-02,2699.25,2826.5,2682.5,2811.5
2015-03-02,2812.75,2824.25,2747,2777.5
2015-04-01,2774.75,2836.5,2750.25,2795.75
2015-05-01,2799.5,2850.75,2773.75,2822.75
2015-06-01,2823.75,2847.25,2772,2779.75
2015-07-01,2779.75,2851.5,2759.5,2823.75
2015-08-03,2824,2832.25,2556.25,2694.5
2015-09-01,2690.75,2747,2596.25,2644
2015-10-01,2637.75,2830,2618.25,2809
2015-11-02,2808.25,2845.5,2733.75,2815
2015-12-01,2820.75,2840.25,2727.5,2779.75
2016-01-01,2782,2787.75,2548.5,2674.25
2016-02-01,2674,2713,2546.75,2673.75
2016-03-01,2672.25,2818.25,2665,2805.25
2016-04-01,2806.5,2859,2779.75,2812.75
2016-05-02,2814.5,2857.5,2775.75,2848.75
2016-06-01,2847.75,2882.25,2744.25,2853
2016-07-01,2849.25,2935.25,2828.5,2931
2016-08-01,2936.75,2954.25,2904.25,2932.25
2016-09-01,2931.75,2952,2869.75,2929.75
2016-10-03,2928,2933.25,2877,2889.25
