time,open,high,low,close
2020-06-01,3789.5,3988,3720.25,3851
2020-07-01,3862.25,4039.5,3857,4031.5
2020-08-03,4050.75,4280.75,4044.25,4265.25
2020-09-01,4269.25,4354.75,3976,4117
2020-10-01,4155.25,4319,4003,4049.75
2020-11-02,4080,4423.25,4050,4406.75
2020-12-01,4434.25,4537.5,4409.5,4531.75
2021-01-04,4543,4646.75,4437,4485.5
2021-02-01,4525.25,4729.5,4501.75,4586.75
2021-03-01,4643.25,4777.5,4505,4757.75
2021-04-01,4781.75,5004.75,4778.75,4974.75
2021-05-03,4992,5026,4844.75,4997.75
2021-06-01,5022.5,5096.5,4950.25,5094.5
2021-07-01,5096.75,5225.25,5026.75,5197.5
2021-08-02,5210.75,5337.25,5167.25,5329
2021-09-01,5332.25,5346.75,5106,5114.75
2021-10-01,5127.25,5413.25,5079.75,5412.25
2021-11-01,5420.25,5552.75,5369.25,5391
2021-12-01,5432.75,5621.25,5304.25,5585.5
2022-01-03,5594.5,5629.75,5034.25,5312.5
2022-02-01,5333.25,5407.5,4930.25,5189.5
2022-03-01,5174.75,5461,4974.75,5372.5
2022-04-01,5373.5,5418.75,4948.75,4971.25
2022-05-02,4957,5133,4637.5,4959
2022-06-01,4984.25,5006.75,4466,4606.5
2022-07-01,4608,4971,4550.75,4958.75
2022-08-01,4932,5154.5,4780,4786.5
2022-09-01,4759,4946.75,4403,4420
2022-10-03,4443.5,4724.25,4309.75,4690.25
2022-11-01,4729.5,4895.5,4512,4895.25
2022-12-01,4903,4917.75,4563,4641.75
2023-01-03,4655.5,4883.75,4589,4858.5
2023-02-01,4852.25,4983,4722,4741.75
2023-03-01,4738.25,4883.75,4584.5,4882
2023-04-03,4875,4937.25,4811.25,4934
2023-05-01,4926.75,4981,4804.75,4931.5
2023-06-01,4933.75,5195.25,4920.5,5180.5
2023-07-03,5180,5330.75,5116.75,5314
2023-08-01,5296.75,5306.5,5047.25,5215.25
2023-09-01,5240,5244.75,4925,4977.25
2023-10-02,4965.25,5071.25,4770.25,4853.75
2023-11-01,4869.5,5245,4863.5,5221.75
2023-12-01,5216.75,5435.25,5200,5409
2024-01-02,5379,5552.75,5315.25,5467.5
2024-02-01,5478.75,5719,5470,5695.5
2024-03-01,5701.25,5855.5,5658.5,5839.25
2024-04-01,5844.5,5850,5524,5597.25
2024-05-01,5590.75,5891,5569,5830.25
2024-06-03,5845,6053,5779.5,5999.75
2024-07-01,6005,6189.25,5900.5,6035
2024-08-01,6046,6137,5614,6122.25
2024-09-03,6094.25,6234,5878.25,6214.75
2024-10-01,6215.25,6331.75,6130.75,6150.25
2024-11-01,6167.5,6466.75,6131,6458.25
2024-12-02,6462,6517.75,6231.5,6271
2025-01-02,6301,6495.5,6146.25,6397
2025-02-03,6305.5,6499.75,6181.25,6290.5
2025-03-03,6318,6330.25,5815,5926.75
2025-04-01,5920,6042.75,5148.25,5887
2025-05-01,5926.25,6268.75,5877.25,6198
2025-06-02,6178.75,6494.5,6151.75,6475.25
2025-07-01,6464.25,6680,6456.5,6595.75
2025-08-01,6540,6752,6468.5,6703.75
2025-09-02,6627.25,6928,6600.75,6896.75
2025-10-01,6878,7123.25,6760.75,7043.25
2025-11-03,7079.5,7080.75,6710.25,7028.5
2025-12-01,6984.75,7107.25,6888.75,7010.75
2026-01-02,7041,7144.25,6935.5,7076.75
2026-02-02,7056.75,7130.5,6904.25,6998.5
2026-03-02,6924.25,7024.5,6422,6634
2026-04-01,6668.75,7314.25,6576.75,7307.5
2026-05-01,7327,7674,7262,7658.75
2026-06-01,7645.5,7694.75,7309.75,7545.25
2026-07-01,7532.25,7627.25,7326.25,7521.75
2026-08-03,7546.25,7838.5,7542.75,7701.75
2026-09-01,7647,7766.5,7621.5,7646
