time,open,high,low,close
2018-03-26,3403.5,3449.75,3366.75,3410.5
2018-04-02,3405.75,3446,3325.75,3378.25
2018-04-09,3392.5,3454.25,3383.75,3431
2018-04-16,3449,3491.75,3433.5,3446
2018-04-23,3450.75,3457.5,3385,3444.5
2018-04-30,3448.75,3455.5,3365,3437.5
2018-05-07,3443.75,3506.25,3426,3503.5
2018-05-14,3507.5,3515,3474.25,3487.25
2018-05-21,3502.5,3515.5,3479.5,3492
2018-05-29,3474.5,3510.75,3448.75,3507.5
2018-06-04,3516.25,3553.5,3512.75,3552.25
2018-06-11,3554.5,3566,3535.5,3554.5
2018-06-18,3536.75,3550,3516.25,3529.5
2018-06-25,3514.5,3518,3463.5,3492.25
2018-07-02,3473.25,3536.25,3470.5,3532.5
2018-07-09,3543.5,3576.25,3542.25,3573.25
2018-07-16,3573,3588.25,3560.75,3571
2018-07-23,3570,3619.5,3566,3587.5
2018-07-30,3589.75,3610.5,3565,3610.25
2018-08-06,3609,3633.75,3596,3607.5
2018-08-13,3607,3627,3573,3622.5
2018-08-20,3626.75,3647.25,3621.5,3646.75
2018-08-27,3658.5,3687.5,3657,3675.75
2018-09-04,3667.5,3671,3635,3645
2018-09-10,3655.25,3679.5,3637.25,3676.5
2018-09-17,3674.5,3711.5,3657.25,3699
2018-09-24,3692.5,3701,3672.5,3685.25
2018-10-01,3698.75,3709.75,3638.25,3659.25
2018-10-08,3646.25,3665,3477.25,3533.75
2018-10-15,3528.25,3584.25,3513.5,3532.75
2018-10-22,3542,3545.5,3392.25,3435.5
2018-10-29,3457.25,3521.5,3368,3489
2018-11-05,3492.75,3582.5,3482,3544
2018-11-12,3539.25,3542.5,3436.25,3507.5
2018-11-19,3496.25,3499.75,3393.5,3393.5
2018-11-26,3422.25,3529.75,3417.5,3529.25
2018-12-03,3566.25,3567.5,3386.25,3400
2018-12-10,3395.75,3451.5,3348,3366.75
2018-12-17,3354.75,3367.25,3171,3174.5
2018-12-24,3162,3284.75,3102.25,3248.75
2018-12-31,3265.25,3301,3205,3292.5
2019-01-07,3296.25,3361.25,3286.25,3356.75
2019-01-14,3337.25,3438.25,3332.5,3433.25
2019-01-22,3416,3434.25,3374.25,3425
2019-01-28,3400.25,3477.75,3384,3466.5
2019-02-04,3466.5,3499.5,3442.5,3467.75
2019-02-11,3476.25,3539.25,3464.5,3538.75
2019-02-19,3528,3556.25,3526,3553.25
2019-02-25,3569.5,3575.75,3536.75,3567
2019-03-04,3577.25,3579.75,3483.75,3509
2019-03-11,3512.25,3593.25,3511.75,3587
2019-03-18,3586.75,3622.75,3562,3567.5
2019-03-25,3558.5,3597.25,3546.25,3596.5
2019-04-01,3615.75,3654.5,3612.75,3653.25
2019-04-08,3648.25,3671.5,3634,3669.5
2019-04-15,3669,3680.25,3651.75,3667.25
2019-04-22,3656.75,3699.5,3655.75,3698.75
2019-04-29,3698.75,3712.75,3657.75,3704.25
2019-05-06,3654.25,3695,3582.75,3643.5
2019-05-13,3583.5,3650.75,3558.75,3619.25
2019-05-20,3598.75,3627.5,3562.5,3588.5
2019-05-28,3587.5,3598,3506.75,3508.75
2019-06-03,3507.75,3643,3485.5,3632
2019-06-10,3647.5,3668.25,3632,3647.25
2019-06-17,3648,3721.75,3644.5,3703.5
2019-06-24,3708.75,3712.5,3669.25,3707.25
2019-07-01,3731.75,3754,3708,3743
2019-07-08,3734,3770.5,3718.25,3767.25
2019-07-15,3774,3774,3728.25,3729.75
2019-07-22,3737,3782,3731,3776.5
2019-07-29,3778.5,3778.75,3666,3684.25
2019-08-05,3637.5,3693,3573,3671.5
2019-08-12,3654.5,3696.75,3577.5,3644.25
2019-08-19,3676,3692.25,3586.5,3608.25
2019-08-26,3625,3694.25,3604.25,3673.75
2019-09-03,3656.5,3739,3643.5,3733.25
2019-09-09,3742,3774.25,3709.75,3759.25
2019-09-16,3747.5,3774.5,3730.75,3739.25
2019-09-23,3736.25,3759.25,3696.25,3713.75
2019-09-30,3719,3744,3605,3700
2019-10-07,3691.5,3744,3640.5,3720.25
2019-10-14,3715,3758,3711.5,3738.25
2019-10-21,3749.5,3776.5,3739.75,3770
2019-10-28,3783.25,3815,3770.25,3813.25
2019-11-04,3831.5,3847,3813,3840.25
2019-11-11,3826,3869.5,3824.5,3867.75
2019-11-18,3866,3878,3840.75,3861.75
2019-11-25,3869.5,3905,3869.25,3893.75
2019-12-02,3894.75,3901,3819.5,3896.5
2019-12-09,3892,3934,3875.5,3922
2019-12-16,3939,3975.25,3938.75,3971
2019-12-23,3976.25,3996.75,3968.25,3983
2019-12-30,3987.25,4005.5,3958.75,3981
2020-01-06,3960.25,4029.5,3959,4010.5
2020-01-13,4018.75,4076,4013.75,4070
2020-01-21,4062.25,4083.25,4026.25,4039
2020-01-27,3982.5,4038.5,3958.5,3973.75
2020-02-03,3985,4092.25,3983.5,4071.75
2020-02-10,4062.25,4130.5,4062,4127
2020-02-18,4114.25,4139.5,4073.75,4085.75
2020-02-24,3978.5,4005.75,3599,3716.75
2020-03-02,3726.25,3882.75,3643.75,3709.5
2020-03-09,3507.75,3630.5,3193.75,3443
2020-03-16,3259.25,3308.25,3018.75,3045
2020-03-23,3036.25,3382.5,2936.25,3281
2020-03-30,3310,3386.25,3191,3238.25
2020-04-06,3332,3566.25,3320.75,3536.75
2020-04-13,3525.5,3629.5,3467.75,3625.75
2020-04-20,3579.5,3617.5,3474,3585.75
2020-04-27,3605.75,3704,3568.5,3577.75
2020-05-04,3561,3686.5,3545.25,3685
2020-05-11,3657,3696,3517,3603.25
2020-05-18,3683.75,3732.5,3672.25,3709.75
2020-05-26,3773,3822.25,3722.25,3811
2020-06-01,3789.5,3967.25,3783.75,3943.75
2020-06-08,3956.5,3988,3738.75,3792.5
2020-06-15,3733.5,3911.75,3720.25,3828.25
2020-06-22,3846.75,3912.75,3760.25,3776
2020-06-29,3781,3924.25,3756.25,3896.5
2020-07-06,3931.25,3947.25,3873,3946.75
2020-07-13,3968.25,3997.5,3886.75,3980.5
2020-07-20,3981.5,4039.5,3959.25,3971
2020-07-27,3983.75,4034.75,3962.75,4031.5
2020-08-03,4050.75,4114.5,4044.25,4113
2020-08-10,4117.75,4150.25,4087.25,4129.75
